id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_cagar_budaya,jumlah_cagar_budaya,satuan,tahun
811,32,JAWA BARAT,3201,KABUPATEN BOGOR,BENDA CAGAR BUDAYA,54,UNIT,2024
812,32,JAWA BARAT,3201,KABUPATEN BOGOR,BANGUNAN CAGAR BUDAYA,16,UNIT,2024
813,32,JAWA BARAT,3201,KABUPATEN BOGOR,STRUKTUR CAGAR BUDAYA,8,UNIT,2024
814,32,JAWA BARAT,3201,KABUPATEN BOGOR,SITUS CAGAR BUDAYA,68,UNIT,2024
815,32,JAWA BARAT,3201,KABUPATEN BOGOR,KAWASAN CAGAR BUDAYA,3,UNIT,2024
816,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BENDA CAGAR BUDAYA,58,UNIT,2024
817,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BANGUNAN CAGAR BUDAYA,36,UNIT,2024
818,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,STRUKTUR CAGAR BUDAYA,33,UNIT,2024
819,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SITUS CAGAR BUDAYA,35,UNIT,2024
820,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KAWASAN CAGAR BUDAYA,4,UNIT,2024
821,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BENDA CAGAR BUDAYA,23,UNIT,2024
822,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BANGUNAN CAGAR BUDAYA,13,UNIT,2024
823,32,JAWA BARAT,3203,KABUPATEN CIANJUR,STRUKTUR CAGAR BUDAYA,2,UNIT,2024
824,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SITUS CAGAR BUDAYA,92,UNIT,2024
825,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KAWASAN CAGAR BUDAYA,1,UNIT,2024
826,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BENDA CAGAR BUDAYA,4,UNIT,2024
827,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BANGUNAN CAGAR BUDAYA,27,UNIT,2024
828,32,JAWA BARAT,3204,KABUPATEN BANDUNG,STRUKTUR CAGAR BUDAYA,14,UNIT,2024
829,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SITUS CAGAR BUDAYA,9,UNIT,2024
830,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KAWASAN CAGAR BUDAYA,2,UNIT,2024
831,32,JAWA BARAT,3205,KABUPATEN GARUT,BENDA CAGAR BUDAYA,0,UNIT,2024
832,32,JAWA BARAT,3205,KABUPATEN GARUT,BANGUNAN CAGAR BUDAYA,0,UNIT,2024
833,32,JAWA BARAT,3205,KABUPATEN GARUT,STRUKTUR CAGAR BUDAYA,26,UNIT,2024
834,32,JAWA BARAT,3205,KABUPATEN GARUT,SITUS CAGAR BUDAYA,10,UNIT,2024
835,32,JAWA BARAT,3205,KABUPATEN GARUT,KAWASAN CAGAR BUDAYA,1,UNIT,2024
836,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BENDA CAGAR BUDAYA,116,UNIT,2024
837,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BANGUNAN CAGAR BUDAYA,5,UNIT,2024
838,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,STRUKTUR CAGAR BUDAYA,1,UNIT,2024
839,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SITUS CAGAR BUDAYA,34,UNIT,2024
840,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KAWASAN CAGAR BUDAYA,3,UNIT,2024
841,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BENDA CAGAR BUDAYA,613,UNIT,2024
842,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BANGUNAN CAGAR BUDAYA,19,UNIT,2024
843,32,JAWA BARAT,3207,KABUPATEN CIAMIS,STRUKTUR CAGAR BUDAYA,5,UNIT,2024
844,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SITUS CAGAR BUDAYA,113,UNIT,2024
845,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KAWASAN CAGAR BUDAYA,105,UNIT,2024
846,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BENDA CAGAR BUDAYA,11,UNIT,2024
847,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BANGUNAN CAGAR BUDAYA,9,UNIT,2024
848,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,STRUKTUR CAGAR BUDAYA,1,UNIT,2024
849,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SITUS CAGAR BUDAYA,12,UNIT,2024
850,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KAWASAN CAGAR BUDAYA,6,UNIT,2024
851,32,JAWA BARAT,3209,KABUPATEN CIREBON,BENDA CAGAR BUDAYA,92,UNIT,2024
852,32,JAWA BARAT,3209,KABUPATEN CIREBON,BANGUNAN CAGAR BUDAYA,27,UNIT,2024
853,32,JAWA BARAT,3209,KABUPATEN CIREBON,STRUKTUR CAGAR BUDAYA,11,UNIT,2024
854,32,JAWA BARAT,3209,KABUPATEN CIREBON,SITUS CAGAR BUDAYA,259,UNIT,2024
855,32,JAWA BARAT,3209,KABUPATEN CIREBON,KAWASAN CAGAR BUDAYA,2,UNIT,2024
856,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BENDA CAGAR BUDAYA,16,UNIT,2024
857,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BANGUNAN CAGAR BUDAYA,70,UNIT,2024
858,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,STRUKTUR CAGAR BUDAYA,13,UNIT,2024
859,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SITUS CAGAR BUDAYA,13,UNIT,2024
860,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KAWASAN CAGAR BUDAYA,0,UNIT,2024
861,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BENDA CAGAR BUDAYA,4,UNIT,2024
862,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BANGUNAN CAGAR BUDAYA,8,UNIT,2024
863,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,STRUKTUR CAGAR BUDAYA,8,UNIT,2024
864,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SITUS CAGAR BUDAYA,19,UNIT,2024
865,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KAWASAN CAGAR BUDAYA,0,UNIT,2024
866,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BENDA CAGAR BUDAYA,20,UNIT,2024
867,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BANGUNAN CAGAR BUDAYA,30,UNIT,2024
868,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,STRUKTUR CAGAR BUDAYA,13,UNIT,2024
869,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SITUS CAGAR BUDAYA,221,UNIT,2024
870,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KAWASAN CAGAR BUDAYA,2,UNIT,2024
871,32,JAWA BARAT,3213,KABUPATEN SUBANG,BENDA CAGAR BUDAYA,210,UNIT,2024
872,32,JAWA BARAT,3213,KABUPATEN SUBANG,BANGUNAN CAGAR BUDAYA,138,UNIT,2024
873,32,JAWA BARAT,3213,KABUPATEN SUBANG,STRUKTUR CAGAR BUDAYA,10,UNIT,2024
874,32,JAWA BARAT,3213,KABUPATEN SUBANG,SITUS CAGAR BUDAYA,42,UNIT,2024
875,32,JAWA BARAT,3213,KABUPATEN SUBANG,KAWASAN CAGAR BUDAYA,8,UNIT,2024
876,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BENDA CAGAR BUDAYA,5,UNIT,2024
877,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BANGUNAN CAGAR BUDAYA,43,UNIT,2024
878,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,STRUKTUR CAGAR BUDAYA,12,UNIT,2024
879,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SITUS CAGAR BUDAYA,115,UNIT,2024
880,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KAWASAN CAGAR BUDAYA,3,UNIT,2024
881,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BENDA CAGAR BUDAYA,648,UNIT,2024
882,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BANGUNAN CAGAR BUDAYA,13,UNIT,2024
883,32,JAWA BARAT,3215,KABUPATEN KARAWANG,STRUKTUR CAGAR BUDAYA,5,UNIT,2024
884,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SITUS CAGAR BUDAYA,40,UNIT,2024
885,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KAWASAN CAGAR BUDAYA,1,UNIT,2024
886,32,JAWA BARAT,3216,KABUPATEN BEKASI,BENDA CAGAR BUDAYA,1,UNIT,2024
887,32,JAWA BARAT,3216,KABUPATEN BEKASI,BANGUNAN CAGAR BUDAYA,24,UNIT,2024
888,32,JAWA BARAT,3216,KABUPATEN BEKASI,STRUKTUR CAGAR BUDAYA,8,UNIT,2024
889,32,JAWA BARAT,3216,KABUPATEN BEKASI,SITUS CAGAR BUDAYA,1,UNIT,2024
890,32,JAWA BARAT,3216,KABUPATEN BEKASI,KAWASAN CAGAR BUDAYA,0,UNIT,2024
891,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BENDA CAGAR BUDAYA,0,UNIT,2024
